menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
83	0	1	3000	빽's 카페 라떼	198	진한 에스프레소와 우유가 어우려져 탄생한 부드러운 빽다방 라떼	p_ipscaflat_caf
83	0	0	3500	블랙 펄 카페 라떼	429	흑당 베이스의 달콤함과 쫄깃한 펄, 에스프레소가 어우러진 블랙펄카페라떼	p_bpecaflat_caf
80	1	0	3700	바닐라 라떼	351	부드러운 우유와 달콤하고 은은한 바닐라가 조화를 이루는 음료	p_vanlat_caf
80	0	0	3700	바닐라 라떼	433	부드러운 우유와 달콤하고 은은한 바닐라가 조화를 이루는 음료	p_ivanlat_caf
90	1	0	3500	카페 모카	319	초콜릿과 진한 에스프레소, 부드러운 우유가 더해진 달콤한 맛의 커피	p_cafmoc_caf
90	0	0	3500	카페 모카	365	초콜릿과 진한 에스프레소, 부드러운 우유가 더해진 달콤한 맛의 커피	p_icafmoc_caf
81	1	0	3500	카라멜 마끼아또	354	카라멜소스와 신선한 우유, 에스프레소로 맛을 낸 달콤한 빽다방 인기메뉴	p_carma_caf
81	0	0	3500	카라멜 마끼아또	382	카라멜소스와 신선한 우유, 에스프레소로 맛을 낸 달콤한 빽다방 인기메뉴	p_icarmac_caf
82	1	0	3700	바나나 카페 라떼	297	진한 바나나맛이 올라오는 바나나라떼에 샷이 추가된 카페라떼	p_bancaflat_caf
82	0	0	3700	바나나 카페 라떼	303	진한 바나나맛이 올라오는 바나나라떼에 샷이 추가된 카페라떼	p_ibancaflat_caf
82	0	0	4000	아이스크림 카페 라떼	357	부드러운 아이스크림을 올려 더 달콤하고 맛있는 카페라떼	p_icaflat_caf
82	0	0	4200	아이스크림 바닐라 라떼	520	부드러운 아이스크림을 올려 더 달콤하고 맛있는 바닐라라떼	p_ivancaflat_caf
90	0	0	4100	아이스크림 카페모카	512	부드러운 아이스크림을 올려 더 달콤하고 맛있는 카페모카	p_iccafmoc_caf
86	1	0	4000	콜드브루	15	장시간 추출해 맛과 향이 풍부한 콜드브루	p_colb_caf
86	0	0	4000	콜드브루	15	장시간 추출해 맛과 향이 풍부한 콜드브루	p_icolb_caf
85	1	0	4500	콜드브루 라떼	206	콜드브루에 신선한 우유를 더한 콜드브루라떼	p_colblat_caf
85	0	0	4500	콜드브루 라떼	168	콜드브루에 신선한 우유를 더한 콜드브루라떼	p_icolblat_caf
86	1	0	5500	흑당 콜드브루 라떼	312	콜드브루라떼에 달달한 흑당을 추가한 콜드브루흑당라떼	p_bscolblat_caf
86	0	0	5500	흑당 콜드브루 라떼	312	콜드브루라떼에 달달한 흑당을 추가한 콜드브루흑당라떼	p_ibscolblat_caf
69	0	0	2500	아이스티 샷 추가	265	별미 중에 별미! 달콤한 복숭아 맛 아이스티에 에스프레소 샷 추가~	p_icesp_caf
113	0	0	3500	콤부차 파인애플	103	당 함량과 칼로리가 낮은 파인애플 맛 콤부차	p_compi_tea
113	0	0	3500	콤부차 패션후르츠	99	당 함량과 칼로리가 낮은 패션후르츠 맛 콤부차	p_comfa_tea
111	1	0	3500	삼라봉티	239	제주 한라봉, 오렌지, 감귤을 한 번에 느낄 수 있는 상콤달콤한 티	p_sam_tea
111	0	0	3500	삼라봉티	270	제주 한라봉, 오렌지, 감귤을 한 번에 느낄 수 있는 상콤달콤한 티	p_isam_tea
100	1	0	2500	페퍼민트 티	1	입안 가득 퍼지는 페퍼민트 향으로 기분까지 상쾌해지는 메뉴	p_pepmin_tea
100	0	0	2500	페퍼민트 티	1	입안 가득 퍼지는 페퍼민트 향으로 기분까지 상쾌해지는 메뉴	p_ipepmin_tea
99	1	0	2500	황금캐모마일 티	7	부드럽고 은은한 향으로 마음을 편안하게 해주는 황금캐모마일티	p_gcalmo_tea
99	0	0	2500	황금캐모마일 티	8	부드럽고 은은한 향으로 마음을 편안하게 해주는 황금캐모마일티	p_igcalmo_tea
113	1	0	3000	깔라만시 티	268	입안 가득 전해지는 새콤함! 새콤 톡톡 깔라만시티	p_cal_tea
113	0	0	3000	깔라만시 티	268	입안 가득 전해지는 새콤함! 새콤 톡톡 깔라만시티	p_ical_tea
101	0	0	2000	달콤 아이스티	267	시원하게 즐기는 복숭아 맛 아이스티	p_sice_tea
105	1	0	3500	레몬티	272	레몬 과육이 듬뿍! 더욱 상큼하게 즐기는 레몬티	p_lem_tea
105	1	0	3500	레몬티	272	레몬 과육이 듬뿍! 더욱 상큼하게 즐기는 레몬티	p_ilem_tea
102	1	0	3000	피치우롱스위티	150	향긋하고 달콤한 복숭아와 풍부한 우롱의 맛이 어우러진 메뉴	p_peawu_tea
102	0	0	3000	피치우롱스위티	150	향긋하고 달콤한 복숭아와 풍부한 우롱의 맛이 어우러진 메뉴	p_ipeawu_tea
112	1	0	3000	우롱티	7	직접 우려 깊고 진한 풍미와 깔끔한 맛의 우롱티	p_wur_tea
112	0	0	3000	우롱티	3	직접 우려 깊고 진한 풍미와 깔끔한 맛의 우롱티	p_iwur_tea
105	1	0	3500	레몬 얼그레이 티	110	상큼한 레몬을 더한 얼그레이티	p_lemear_tea
105	0	0	3500	레몬 얼그레이 티	110	상큼한 레몬을 더한 얼그레이티	p_ilemear_tea
107	1	0	3500	오렌지 자몽 블랙 티	110	향긋한 오렌지와 자몽을 블렌딩한 블랙티	p_oragrafb_tea
107	0	0	3500	오렌지 자몽 블랙 티	110	향긋한 오렌지와 자몽을 블렌딩한 블랙티	p_ioragrafb_tea
104	1	0	3500	유자티	261	진하게 전해지는 향긋함! 달콤한 유자티	p_yuz_tea
104	0	0	3500	유자티	261	진하게 전해지는 향긋함! 달콤한 유자티	p_iyuz_tea
106	1	0	3500	자몽티	281	자몽 과육이 입안에서 톡톡! 달콤한 자몽 한 잔	p_graf_tea
106	0	0	3500	자몽티	242	자몽 과육이 입안에서 톡톡! 달콤한 자몽 한 잔	p_igraf_tea
113	0	0	3500	청포드 플라워	220	향긋한 꽃향기가 퍼지는 상큼달콤한 청포도 음료	p_grapf_tea
113	0	0	2500	아이스 미초	147	과일(석류)발효초인 미초를 넣은 시원한 음료	p_imich_tea
119	0	0	4000	완전 대봉 주스	227	국내산 대봉의 맛을 오롯이 느낄 수 있는 주스	p_daeb_jui
114	0	0	4000	완전 수박 주스	262	여름 대표과일 수박을 가득 넣은 수박주스의 정석	p_watm_jui
122	0	0	3500	사과 당근 주스	200	예천 사과와 제주 당근의 맛이 다채롭게 느껴지는 주스	p_appcar_jui
122	0	0	3500	예천 사과 주스	190	새콤달콤한 풍미가 일품인 예천사과를 가득 담아낸 과일주스	p_app_jui
121	0	0	4000	완전 토마토	159	싱그러운 자연의 맛을 그대로 담은 완전토마토	p_toma_jui
117	0	0	4000	완전 딸기 주스	224	신선함을 그대로 담은 완전딸기!	p_str_jui
121	0	0	3500	완전 망고 주스	241	코코넛 젤리가 들어있는 달콤 시원한 완전망고	p_man_jui
122	0	0	3500	완전 블루베리 주스	231	자연의 건강함을 그대로 담은 완전블루베리주스	p_bul_jui
138	1	0	4500	디카페인 콜드브루	11	카페인 함량이 낮아 부담이 적은 디카페인 콜드브루	p_dcolb_dcaf
138	0	0	4500	디카페인 콜드브루	11	카페인 함량이 낮아 부담이 적은 디카페인 콜드브루	p_idcolb_dcaf
138	1	0	4800	디카페인 콜드브루 라떼	162	카페인 함량이 낮아 부담이 적은 디카페인 콜드브루라떼	p_dcollat_dcaf
138	0	0	4800	디카페인 콜드브루 라떼	162	카페인 함량이 낮아 부담이 적은 디카페인 콜드브루라떼	p_idcollat_dcaf
138	1	0	5800	디카페인 흑당 콜드브루 라떼	280	카페인 함량이 낮아 부담이 적은 콜드브루흑당라떼	p_dbscolblat_dcaf
150	1	0	3000	바나나 라떼	302	진한 바나나맛이 올라오는 라떼	p_banlat_etc
150	0	0	3500	바나나 라떼	302	진한 바나나맛이 올라오는 라떼	p_ibanlat_etc
146	1	0	3000	초코 라떼	342	초코에 퐁당 빠지고 싶을때~!? 진짜~! 완~전 진한 초코라떼	p_cholat_etc
146	0	0	3500	초코 라떼	342	초코에 퐁당 빠지고 싶을때~!? 진짜~! 완~전 진한 초코라떼	p_icholat_etc
148	1	0	3000	녹차 라떼	481	100% 국내산 녹차를 사용하여 진하고 부드러운 녹차라떼	p_greelat_etc
148	0	0	3500	녹차 라떼	481	100% 국내산 녹차를 사용하여 진하고 부드러운 녹차라떼	p_igreelat_etc
147	1	0	3000	민트 초코 라떼	413	초코칩으로 더한 깊은 초콜릿의 맛과 민트의 상쾌함이 어우러진 진한 민트초코라떼	p_mincholat_etc
